Provincia,codigo,Nombre Centro
Córdoba,14700641C,I.E.S. Sácilis (CdA)
Córdoba,14005493C,I.E.S. Florencio Pintado
Córdoba,14005501C,I.E.S. Alto Guadiato
Córdoba,14005560C,I.E.S. Aljanadic
Córdoba,14005663C,I.E.S. Los Pedroches
Córdoba,14007684C,I.E.S. Antonio María Calero
Córdoba,14700651C,I.E.S. Ricardo Delgado Vizcaíno
Córdoba,14005912C,I.E.S. Fernando III El Santo
Córdoba,14005936C,I.E.S. Álvarez Cubero
Córdoba,14700377C,I.E.S. Carmen Pantión
Córdoba,14000021C,I.E.S. Profesor Andrés Bojollo
Córdoba,14006217C,I.E.S. Manuel Reina
Córdoba,14007350C,I.E.S. Ingeniero Juan de la Cierva
Córdoba,14700663C,I.E.S. Fuente Álamo
Córdoba,14700468C,I.E.S. Nuevo Scala
Córdoba,14006576C,I.E.S. Arcelacis
Córdoba,14700444C,I.E.S. Nuestra Señora de la Estrella
Córdoba,14700432C,I.E.S. La Soledad
Córdoba,14700316C,I.E.S. La Jara
Córdoba,14000343C,I.E.S. Villarrubia
Córdoba,14700419C,I.E.S. La Escribana
Granada,18000039C,I.E.S. Aricel
Granada,18004781C,S.E.S.O. del IES Aricel
Granada,18700347C,I.E.S. La Contraviesa
Granada,18000738C,I.E.S. Al-Fakar
Granada,18700451C,I.E.S. Alhama
Granada,18000842C,I.E.S. Alhendín
Granada,18000601C,I.E.S. Antigua Sexi
Granada,18700463C,I.E.S. Al-Ándalus
Granada,18700499C,I.E.S. Puerta del Mar
Granada,18700736C,I.E.S. Marquesado del Zenete
Granada,18000787C,I.E.S. Luis Bueno Crespo
Granada,18700232C,I.E.S. Alba Longa
Granada,18000908C,I.E.S. Iliberis
Granada,18009407C,I.E.S. Vega de Atarfe
Granada,18000854C,I.E.S. Los Cahorros
Granada,18001123C,I.E.S. Pedro Jiménez Montoya
Granada,18001147C,I.E.S. José de Mora
Granada,18700359C,I.E.S. Alcrebite
Granada,18700591C,I.E.S. Benalúa
Granada,18700608C,I.E.S. Avenmoriel
Granada,18700670C,I.E.S. Al-Cadí
Granada,18700517C,I.E.S. El Fuerte
Granada,18700581C,I.E.S. Sayena
Granada,18700360C,I.E.S. Arjé
Granada,18002243C,I.E.S. Federico García Lorca
Granada,18001834C,I.E.S. Emilio Muñoz
Granada,18700529C,I.E.S. Gregorio Salvador
Granada,18003004C,I.E.S. Arabuleila
Granada,18009419C,I.E.S. Valle de Lecrín
Granada,18009778C,I.E.S. Alonso Cano
Granada,18700372C,I.E.S. Montevives
Granada,18004264C,I.E.S. Padre Suárez
Granada,18004276C,I.E.S. Ángel Ganivet
Granada,18004288C,I.E.S. Politécnico Hermenegildo Lanz
Granada,18004291C,I.E.S. Padre Manjón
Granada,18004355C,C.P.I.F.P. Hurtado de Mendoza
Granada,18004458C,I.E.S. Virgen de las Nieves
Granada,18004501C,E.A.S.D. José Val del Omar
Granada,18008841C,I.E.S. Cartuja
Granada,18009195C,I.E.S. Mariana Pineda
Granada,18009249C,I.E.S. Severo Ochoa
Granada,18009377C,C.P.I.F.P. Aynadamar
Granada,18009389C,I.E.S. Albayzín
Granada,18010185C,I.E.S. Alhambra
Granada,18010446C,I.E.S. Generalife
Granada,18111111C,I.P.E.P. Granada
Granada,18700013C,I.E.S. Fray Luis de Granada
Granada,18700037C,I.E.S. Pedro Soto de Rojas
Granada,18700098C,I.E.S. Zaidín-Vergeles
Granada,18700293C,I.E.S. Francisco Ayala
Granada,18700311C,I.E.S. La Madraza
Granada,18700441C,I.E.S. Miguel de Cervantes
Granada,18004793C,I.E.S. Pedro Antonio de Alarcón
Granada,18004801C,I.E.S. Padre Poveda
Granada,18004823C,E.A. de la Catedral, 4
Granada,18009213C,I.E.S. Acci
Granada,18005131C,E.A. Huéscar
Granada,18005141C,I.E.S. La Sagra
Granada,18005153C,I.E.S. Alquivira
Granada,18700301C,I.E.S. Américo Castro
Granada,18009201C,I.E.S. Los Neveros (CdA)
Granada,18700773C,I.E.S. Diego de Siloé
Granada,18700554C,I.E.S. Villanueva del Mar
Granada,18700645C,I.E.S. El Temple
